Month,Prov,Immig,Char,Sex,Age,No degree,Highschoolgraduate,Postsecondary,University,Above bachelor degree
10-Jan,Canada,  Non-landed immigrants,       Full-time employment,  Female,15 Years +,7,14,39,44,15
10-Jan,Canada,  Non-landed immigrants,       Full-time employment,  Female,  15-24,0,2,5,4,0
10-Jan,Canada,  Non-landed immigrants,       Full-time employment,  Female,  25 Years +,6,12,34,40,15
10-Jan,Canada,  Non-landed immigrants,       Full-time employment,  Female,  25-64,5,12,34,40,15
10-Jan,Canada,  Non-landed immigrants,       Full-time employment,  Female,  55 Years +,2,3,2,3,2
10-Jan,Canada,  Non-landed immigrants,       Part-time employment,  Male,15 Years +,2,3,4,7,2
10-Jan,Canada,  Non-landed immigrants,       Part-time employment,  Male,  15-24,0,2,0,0,-
10-Jan,Canada,  Non-landed immigrants,       Part-time employment,  Male,  25 Years +,0,0,3,7,2
10-Jan,Canada,  Non-landed immigrants,       Part-time employment,  Male,  25-64,0,0,3,6,2
10-Jan,Canada,  Non-landed immigrants,       Part-time employment,  Male,  55 Years +,0,0,0,0,0
10-Jan,Canada,  Non-landed immigrants,       Part-time employment,  Female,15 Years +,4,5,8,12,3
10-Jan,Canada,  Non-landed immigrants,       Part-time employment,  Female,  15-24,2,2,3,3,0
10-Jan,Canada,  Non-landed immigrants,       Part-time employment,  Female,  25 Years +,3,3,5,10,2
10-Jan,Canada,  Non-landed immigrants,       Part-time employment,  Female,  25-64,2,3,5,9,2
10-Jan,Canada,  Non-landed immigrants,       Part-time employment,  Female,  55 Years +,0,0,0,0,0
10-Jan,Canada,  Non-landed immigrants,    Unemployment,  Male,15 Years +,3,5,4,6,0
10-Jan,Canada,  Non-landed immigrants,    Unemployment,  Male,  15-24,2,0,0,0,-
10-Jan,Canada,  Non-landed immigrants,    Unemployment,  Male,  25 Years +,0,4,3,5,0
10-Jan,Canada,  Non-landed immigrants,    Unemployment,  Male,  25-64,0,4,3,5,0
10-Jan,Canada,  Non-landed immigrants,    Unemployment,  Male,  55 Years +,0,0,0,0,0
10-Jan,Canada,  Non-landed immigrants,    Unemployment,  Female,15 Years +,0,2,3,3,0
10-Jan,Canada,  Non-landed immigrants,    Unemployment,  Female,  15-24,0,0,0,0,-
10-Jan,Canada,  Non-landed immigrants,    Unemployment,  Female,  25 Years +,0,2,0,3,0
10-Jan,Canada,  Non-landed immigrants,    Unemployment,  Female,  25-64,0,2,0,3,0
10-Jan,Canada,  Non-landed immigrants,    Unemployment,  Female,  55 Years +,0,0,0,-,-
10-Jan,Canada,  Non-landed immigrants,  Not in labour force,  Male,15 Years +,16,16,15,19,8
10-Jan,Canada,  Non-landed immigrants,  Not in labour force,  Male,  15-24,12,8,4,3,0
10-Jan,Canada,  Non-landed immigrants,  Not in labour force,  Male,  25 Years +,5,8,11,17,8
10-Jan,Canada,  Non-landed immigrants,  Not in labour force,  Male,  25-64,3,6,8,13,6
10-Jan,Canada,  Non-landed immigrants,  Not in labour force,  Male,  55 Years +,3,3,5,5,3
10-Jan,Canada,  Non-landed immigrants,  Not in labour force,  Female,15 Years +,27,15,16,33,8
10-Jan,Canada,  Non-landed immigrants,  Not in labour force,  Female,  15-24,11,2,5,9,0
10-Jan,Canada,  Non-landed immigrants,  Not in labour force,  Female,  25 Years +,16,13,11,23,7
10-Jan,Canada,  Non-landed immigrants,  Not in labour force,  Female,  25-64,8,9,10,21,6
10-Jan,Canada,  Non-landed immigrants,  Not in labour force,  Female,  55 Years +,12,6,4,5,2
10-Jan,Canada,  Non-landed immigrants,Unemployment rate,  Male,15 Years +,26,13,9,8,NaN
10-Jan,Canada,  Non-landed immigrants,Unemployment rate,  Male,  15-24,38,0,0,0,NaN
10-Jan,Canada,  Non-landed immigrants,Unemployment rate,  Male,  25 Years +,0,14,8,8,NaN
10-Jan,Canada,  Non-landed immigrants,Unemployment rate,  Male,  25-64,0,14,7,7,NaN
10-Jan,Canada,  Non-landed immigrants,Unemployment rate,  Male,  55 Years +,0,0,0,0,NaN
10-Jan,Canada,  Non-landed immigrants,Unemployment rate,  Female,15 Years +,0,11,5,5,NaN
10-Jan,Canada,  Non-landed immigrants,Unemployment rate,  Female,  15-24,0,0,0,0,NaN
10-Jan,Canada,  Non-landed immigrants,Unemployment rate,  Female,  25 Years +,0,10,0,5,NaN
10-Jan,Canada,  Non-landed immigrants,Unemployment rate,  Female,  25-64,0,10,0,6,NaN
10-Jan,Canada,  Non-landed immigrants,Unemployment rate,  Female,  55 Years +,0,0,0,-,NaN
10-Jan,Canada,  Non-landed immigrants,Employment rate,  Male,15 Years +,28,60,67,72,73
10-Jan,Canada,  Non-landed immigrants,Employment rate,  Male,  15-24,16,46,46,47,0
10-Jan,Canada,  Non-landed immigrants,Employment rate,  Male,  25 Years +,46,67,70,74,74
10-Jan,Canada,  Non-landed immigrants,Employment rate,  Male,  25-64,56,72,76,77,79
10-Jan,Canada,  Non-landed immigrants,Employment rate,  Male,  55 Years +,0,28,40,50,35
10-Jan,Canada,  Non-landed immigrants,Employment rate,  Female,15 Years +,28,53,72,61,67
10-Jan,Canada,  Non-landed immigrants,Employment rate,  Female,  15-24,17,57,57,40,0
10-Jan,Canada,  Non-landed immigrants,Employment rate,  Female,  25 Years +,34,52,76,65,67
10-Jan,Canada,  Non-landed immigrants,Employment rate,  Female,  25-64,47,58,78,68,71
10-Jan,Canada,  Non-landed immigrants,Employment rate,  Female,  55 Years +,17,34,42,48,51
10-Jan,Ontario,  Total Landed immigrants,  Labour force,  Male,15 Years +,104,222,303,401,153
10-Jan,Ontario,  Total Landed immigrants,  Labour force,  Male,  15-24,18,23,14,7,0
10-Jan,Ontario,  Total Landed immigrants,  Labour force,  Male,  25 Years +,86,199,289,394,153
10-Jan,Ontario,  Total Landed immigrants,  Labour force,  Male,  25-64,78,190,275,377,142
10-Jan,Ontario,  Total Landed immigrants,  Labour force,  Male,  55 Years +,35,52,69,96,43
10-Jan,Ontario,  Total Landed immigrants,  Labour force,  Female,15 Years +,79,208,315,331,102
10-Jan,Ontario,  Total Landed immigrants,  Labour force,  Female,  15-24,9,17,15,8,0
10-Jan,Ontario,  Total Landed immigrants,  Labour force,  Female,  25 Years +,70,191,300,323,102
10-Jan,Ontario,  Total Landed immigrants,  Labour force,  Female,  25-64,66,181,292,316,99
10-Jan,Ontario,  Total Landed immigrants,  Labour force,  Female,  55 Years +,26,51,75,53,17
10-Jan,Ontario,  Total Landed immigrants,    Employment,  Male,15 Years +,88,195,277,368,143
10-Jan,Ontario,  Total Landed immigrants,    Employment,  Male,  15-24,12,16,11,5,0
10-Jan,Ontario,  Total Landed immigrants,    Employment,  Male,  25 Years +,76,179,265,362,143
10-Jan,Ontario,  Total Landed immigrants,    Employment,  Male,  25-64,68,170,252,345,133
10-Jan,Ontario,  Total Landed immigrants,    Employment,  Male,  55 Years +,29,48,63,90,41
10-Jan,Ontario,  Total Landed immigrants,    Employment,  Female,15 Years +,65,187,291,299,92
10-Jan,Ontario,  Total Landed immigrants,    Employment,  Female,  15-24,7,14,12,7,0
10-Jan,Ontario,  Total Landed immigrants,    Employment,  Female,  25 Years +,58,172,279,293,92
10-Jan,Ontario,  Total Landed immigrants,    Employment,  Female,  25-64,54,163,272,286,89
10-Jan,Ontario,  Total Landed immigrants,    Employment,  Female,  55 Years +,23,48,70,50,17
10-Jan,Ontario,  Total Landed immigrants,       Full-time employment,  Male,15 Years +,69,170,247,337,129
10-Jan,Ontario,  Total Landed immigrants,       Full-time employment,  Male,  15-24,4,7,7,5,0
10-Jan,Ontario,  Total Landed immigrants,       Full-time employment,  Male,  25 Years +,65,163,240,332,129
10-Jan,Ontario,  Total Landed immigrants,       Full-time employment,  Male,  25-64,60,157,231,320,121
10-Jan,Ontario,  Total Landed immigrants,       Full-time employment,  Male,  55 Years +,23,41,55,79,36
10-Jan,Ontario,  Total Landed immigrants,       Full-time employment,  Female,15 Years +,49,143,235,248,76
10-Jan,Ontario,  Total Landed immigrants,       Full-time employment,  Female,  15-24,2,7,7,5,0
10-Jan,Ontario,  Total Landed immigrants,       Full-time employment,  Female,  25 Years +,47,136,228,244,76
10-Jan,Ontario,  Total Landed immigrants,       Full-time employment,  Female,  25-64,45,129,225,241,75
10-Jan,Ontario,  Total Landed immigrants,       Full-time employment,  Female,  55 Years +,18,36,51,38,12
10-Jan,Ontario,  Total Landed immigrants,       Part-time employment,  Male,15 Years +,18,25,29,31,14
10-Jan,Ontario,  Total Landed immigrants,       Part-time employment,  Male,  15-24,8,8,4,0,-
10-Jan,Ontario,  Total Landed immigrants,       Part-time employment,  Male,  25 Years +,11,17,25,31,14
10-Jan,Ontario,  Total Landed immigrants,       Part-time employment,  Male,  25-64,9,13,21,26,12
10-Jan,Ontario,  Total Landed immigrants,       Part-time employment,  Male,  55 Years +,6,7,8,12,6
10-Jan,Ontario,  Total Landed immigrants,       Part-time employment,  Female,15 Years +,17,44,56,51,16
10-Jan,Ontario,  Total Landed immigrants,       Part-time employment,  Female,  15-24,5,8,5,2,-
10-Jan,Ontario,  Total Landed immigrants,       Part-time employment,  Female,  25 Years +,11,36,51,49,16
10-Jan,Ontario,  Total Landed immigrants,       Part-time employment,  Female,  25-64,10,34,48,45,15
10-Jan,Ontario,  Total Landed immigrants,       Part-time employment,  Female,  55 Years +,5,12,18,12,5
10-Jan,Ontario,  Total Landed immigrants,    Unemployment,  Male,15 Years +,16,27,27,33,10
10-Jan,Ontario,  Total Landed immigrants,    Unemployment,  Male,  15-24,6,7,3,2,-
10-Jan,Ontario,  Total Landed immigrants,    Unemployment,  Male,  25 Years +,10,20,24,32,10
10-Jan,Ontario,  Total Landed immigrants,    Unemployment,  Male,  25-64,9,20,23,31,10
10-Jan,Ontario,  Total Landed immigrants,    Unemployment,  Male,  55 Years +,6,4,5,6,0
10-Jan,Ontario,  Total Landed immigrants,    Unemployment,  Female,15 Years +,14,21,24,31,10
10-Jan,Ontario,  Total Landed immigrants,    Unemployment,  Female,  15-24,2,3,3,0,-
10-Jan,Ontario,  Total Landed immigrants,    Unemployment,  Female,  25 Years +,12,18,21,31,10
10-Jan,Ontario,  Total Landed immigrants,    Unemployment,  Female,  25-64,12,18,19,31,10
10-Jan,Ontario,  Total Landed immigrants,    Unemployment,  Female,  55 Years +,4,4,5,3,0
10-Jan,Ontario,  Total Landed immigrants,  Not in labour force,  Male,15 Years +,174,99,129,91,40
10-Jan,Ontario,  Total Landed immigrants,  Not in labour force,  Male,  15-24,31,13,5,3,0
10-Jan,Ontario,  Total Landed immigrants,  Not in labour force,  Male,  25 Years +,143,86,124,88,39
10-Jan,Ontario,  Total Landed immigrants,  Not in labour force,  Male,  25-64,31,42,44,48,20
10-Jan,Ontario,  Total Landed immigrants,  Not in labour force,  Male,  55 Years +,130,61,105,58,26
10-Jan,Ontario,  Total Landed immigrants,  Not in labour force,  Female,15 Years +,300,184,144,123,33
10-Jan,Ontario,  Total Landed immigrants,  Not in labour force,  Female,  15-24,26,11,6,5,0
10-Jan,Ontario,  Total Landed immigrants,  Not in labour force,  Female,  25 Years +,275,173,137,118,32
10-Jan,Ontario,  Total Landed immigrants,  Not in labour force,  Female,  25-64,88,82,74,82,20
10-Jan,Ontario,  Total Landed immigrants,  Not in labour force,  Female,  55 Years +,233,125,94,54,16
10-Jan,Ontario,  Total Landed immigrants,Unemployment rate,  Male,15 Years +,15,12,9,8,7
10-Jan,Ontario,  Total Landed immigrants,Unemployment rate,  Male,  15-24,33,31,19,24,-
10-Jan,Ontario,  Total Landed immigrants,Unemployment rate,  Male,  25 Years +,12,10,8,8,7
10-Jan,Ontario,  Total Landed immigrants,Unemployment rate,  Male,  25-64,12,10,9,8,7
10-Jan,Ontario,  Total Landed immigrants,Unemployment rate,  Male,  55 Years +,18,8,7,6,0
10-Jan,Ontario,  Total Landed immigrants,Unemployment rate,  Female,15 Years +,17,10,8,10,10
10-Jan,Ontario,  Total Landed immigrants,Unemployment rate,  Female,  15-24,18,18,22,0,-
10-Jan,Ontario,  Total Landed immigrants,Unemployment rate,  Female,  25 Years +,17,10,7,9,10
10-Jan,Ontario,  Total Landed immigrants,Unemployment rate,  Female,  25-64,18,10,7,10,10
10-Jan,Ontario,  Total Landed immigrants,Unemployment rate,  Female,  55 Years +,14,7,7,6,0
10-Jan,Ontario,  Total Landed immigrants,Employment rate,  Male,15 Years +,32,61,64,75,74
10-Jan,Ontario,  Total Landed immigrants,Employment rate,  Male,  15-24,25,44,58,55,0
10-Jan,Ontario,  Total Landed immigrants,Employment rate,  Male,  25 Years +,33,63,64,75,74
10-Jan,Ontario,  Total Landed immigrants,Employment rate,  Male,  25-64,63,73,79,81,82
10-Jan,Ontario,  Total Landed immigrants,Employment rate,  Male,  55 Years +,18,42,37,59,60
10-Jan,Ontario,  Total Landed immigrants,Employment rate,  Female,15 Years +,17,48,63,66,68
10-Jan,Ontario,  Total Landed immigrants,Employment rate,  Female,  15-24,21,50,55,52,0
10-Jan,Ontario,  Total Landed immigrants,Employment rate,  Female,  25 Years +,17,47,64,66,69
10-Jan,Ontario,  Total Landed immigrants,Employment rate,  Female,  25-64,35,62,75,72,75
10-Jan,Ontario,  Total Landed immigrants,Employment rate,  Female,  55 Years +,9,27,41,47,51
10-Jan,Ontario,  Non-landed immigrants,  Labour force,  Male,15 Years +,4,14,14,22,7
10-Jan,Ontario,  Non-landed immigrants,  Labour force,  Male,  15-24,3,3,0,2,0
10-Jan,Ontario,  Non-landed immigrants,  Labour force,  Male,  25 Years +,0,12,13,20,7
10-Jan,Ontario,  Non-landed immigrants,  Labour force,  Male,  25-64,0,12,13,20,7
10-Jan,Ontario,  Non-landed immigrants,  Labour force,  Male,  55 Years +,0,0,2,3,0
10-Jan,Ontario,  Non-landed immigrants,  Labour force,  Female,15 Years +,7,7,21,21,8
10-Jan,Ontario,  Non-landed immigrants,  Labour force,  Female,  15-24,0,0,4,3,0
10-Jan,Ontario,  Non-landed immigrants,  Labour force,  Female,  25 Years +,6,7,17,18,7
10-Jan,Ontario,  Non-landed immigrants,  Labour force,  Female,  25-64,5,7,17,17,7
10-Jan,Ontario,  Non-landed immigrants,  Labour force,  Female,  55 Years +,2,2,0,3,0
10-Jan,Ontario,  Non-landed immigrants,    Employment,  Male,15 Years +,3,11,13,20,7
10-Jan,Ontario,  Non-landed immigrants,    Employment,  Male,  15-24,0,2,0,0,0
10-Jan,Ontario,  Non-landed immigrants,    Employment,  Male,  25 Years +,0,9,12,19,7
10-Jan,Ontario,  Non-landed immigrants,    Employment,  Male,  25-64,0,9,12,19,7
10-Jan,Ontario,  Non-landed immigrants,    Employment,  Male,  55 Years +,0,0,2,3,0
10-Jan,Ontario,  Non-landed immigrants,    Employment,  Female,15 Years +,7,7,20,20,8
10-Jan,Ontario,  Non-landed immigrants,    Employment,  Female,  15-24,0,0,4,3,0
10-Jan,Ontario,  Non-landed immigrants,    Employment,  Female,  25 Years +,6,6,17,17,7
10-Jan,Ontario,  Non-landed immigrants,    Employment,  Female,  25-64,5,6,17,17,7
10-Jan,Ontario,  Non-landed immigrants,    Employment,  Female,  55 Years +,2,2,0,3,0
10-Jan,Ontario,  Non-landed immigrants,       Full-time employment,  Male,15 Years +,2,10,12,18,7
10-Jan,Ontario,  Non-landed immigrants,       Full-time employment,  Male,  15-24,0,2,0,0,0
10-Jan,Ontario,  Non-landed immigrants,       Full-time employment,  Male,  25 Years +,0,9,11,17,7
10-Jan,Ontario,  Non-landed immigrants,       Full-time employment,  Male,  25-64,0,9,11,17,6
10-Jan,Ontario,  Non-landed immigrants,       Full-time employment,  Male,  55 Years +,0,0,2,3,0
10-Jan,Ontario,  Non-landed immigrants,       Full-time employment,  Female,15 Years +,5,5,17,17,7
10-Jan,Ontario,  Non-landed immigrants,       Full-time employment,  Female,  15-24,0,-,3,2,0
10-Jan,Ontario,  Non-landed immigrants,       Full-time employment,  Female,  25 Years +,5,5,15,15,7
10-Jan,Ontario,  Non-landed immigrants,       Full-time employment,  Female,  25-64,4,5,15,15,7
10-Jan,Ontario,  Non-landed immigrants,       Full-time employment,  Female,  55 Years +,2,2,0,2,0
10-Jan,Ontario,  Non-landed immigrants,       Part-time employment,  Male,15 Years +,0,0,2,2,0
10-Jan,Ontario,  Non-landed immigrants,       Part-time employment,  Male,  15-24,0,0,0,-,-
10-Jan,Ontario,  Non-landed immigrants,       Part-time employment,  Male,  25 Years +,-,0,2,2,0
10-Jan,Ontario,  Non-landed immigrants,       Part-time employment,  Male,  25-64,-,0,2,2,0
10-Jan,Ontario,  Non-landed immigrants,       Part-time employment,  Male,  55 Years +,-,-,0,-,-
10-Jan,Ontario,  Non-landed immigrants,       Part-time employment,  Female,15 Years +,2,2,3,4,0
10-Jan,Ontario,  Non-landed immigrants,       Part-time employment,  Female,  15-24,0,0,0,0,0
10-Jan,Ontario,  Non-landed immigrants,       Part-time employment,  Female,  25 Years +,0,2,2,3,0
10-Jan,Ontario,  Non-landed immigrants,       Part-time employment,  Female,  25-64,0,2,2,2,0
10-Jan,Ontario,  Non-landed immigrants,       Part-time employment,  Female,  55 Years +,-,0,0,0,0
10-Jan,Ontario,  Non-landed immigrants,    Unemployment,  Male,15 Years +,0,3,0,2,0
10-Jan,Ontario,  Non-landed immigrants,    Unemployment,  Male,  15-24,0,0,0,0,-
10-Jan,Ontario,  Non-landed immigrants,    Unemployment,  Male,  25 Years +,-,3,0,0,0
10-Jan,Ontario,  Non-landed immigrants,    Unemployment,  Male,  25-64,-,3,0,0,0
10-Jan,Ontario,  Non-landed immigrants,    Unemployment,  Male,  55 Years +,-,0,-,0,0
10-Jan,Ontario,  Non-landed immigrants,    Unemployment,  Female,15 Years +,-,0,0,0,0
