Month,Prov,Immig,Char,Sex,Age,    Nodegree,    Highschoolgraduate,    Postsecondary,    University,       Above bachelor degree
10-Jan,Canada,  Total Landed immigrants,Unemployment rate,  Male,  55 Years +,15,8,7.5,5.7,5.2
10-Jan,Canada,  Total Landed immigrants,Unemployment rate,  Female,15 Years +,16.2,10.1,7.9,8.7,8
10-Jan,Canada,  Total Landed immigrants,Unemployment rate,  Female,  15-24,14.3,21.3,19.8,0,0
10-Jan,Canada,  Total Landed immigrants,Unemployment rate,  Female,  25 Years +,16.6,8.9,7.3,8.7,8
10-Jan,Canada,  Total Landed immigrants,Unemployment rate,  Female,  25-64,17.3,9,7.1,8.8,8.2
10-Jan,Canada,  Total Landed immigrants,Unemployment rate,  Female,  55 Years +,14.6,6.7,5.6,5.1,0
10-Jan,Canada,  Total Landed immigrants,Employment rate,  Male,15 Years +,34.9,61.1,65,73.4,72.8
10-Jan,Canada,  Total Landed immigrants,Employment rate,  Male,  15-24,25.3,50,58.9,63.6,51.2
10-Jan,Canada,  Total Landed immigrants,Employment rate,  Male,  25 Years +,37,62.6,65.3,73.6,73
10-Jan,Canada,  Total Landed immigrants,Employment rate,  Male,  25-64,66.1,73.8,79.9,80.7,81.5
10-Jan,Canada,  Total Landed immigrants,Employment rate,  Male,  55 Years +,19.4,40.6,37.7,55.1,55.6
10-Jan,Canada,  Total Landed immigrants,Employment rate,  Female,15 Years +,20.1,46.6,63.8,65.6,67.9
10-Jan,Canada,  Total Landed immigrants,Employment rate,  Female,  15-24,29.9,49.2,55.6,57.6,75.9
10-Jan,Canada,  Total Landed immigrants,Employment rate,  Female,  25 Years +,18.9,46.4,64.2,65.8,67.8
10-Jan,Canada,  Total Landed immigrants,Employment rate,  Female,  25-64,38.8,60.8,74.6,71.7,74
10-Jan,Canada,  Total Landed immigrants,Employment rate,  Female,  55 Years +,9.3,26.1,40.1,45.3,49
10-Jan,Canada,  Non-landed immigrants,  Labour force,  Male,15 Years +,10.1,35.2,40.9,69,26.7
10-Jan,Canada,  Non-landed immigrants,  Labour force,  Male,  15-24,4,7.9,4.2,3.4,0
10-Jan,Canada,  Non-landed immigrants,  Labour force,  Male,  25 Years +,6.1,27.3,36.7,65.6,26.4
10-Jan,Canada,  Non-landed immigrants,  Labour force,  Male,  25-64,6.1,27.2,36.4,64.5,26.3
10-Jan,Canada,  Non-landed immigrants,  Labour force,  Male,  55 Years +,0,2.7,3.6,7.5,2.4
10-Jan,Canada,  Non-landed immigrants,  Labour force,  Female,15 Years +,12,21.6,49.7,58.6,18.4
10-Jan,Canada,  Non-landed immigrants,  Labour force,  Female,  15-24,3.2,4.6,9.2,6.5,0
10-Jan,Canada,  Non-landed immigrants,  Labour force,  Female,  25 Years +,8.8,16.9,40.6,52.1,17.6
10-Jan,Canada,  Non-landed immigrants,  Labour force,  Female,  25-64,7.7,16.8,40.6,51.1,17.5
10-Jan,Canada,  Non-landed immigrants,  Labour force,  Female,  55 Years +,2.4,3.2,2.8,4.5,2.2
10-Jan,Canada,  Non-landed immigrants,    Employment,  Male,15 Years +,7.5,30.6,37.3,63.4,25.7
10-Jan,Canada,  Non-landed immigrants,    Employment,  Male,  15-24,2.4,7,3.5,2.7,0
10-Jan,Canada,  Non-landed immigrants,    Employment,  Male,  25 Years +,5,23.6,33.8,60.7,25.4
10-Jan,Canada,  Non-landed immigrants,    Employment,  Male,  25-64,5,23.5,33.7,59.8,25.2
10-Jan,Canada,  Non-landed immigrants,    Employment,  Male,  55 Years +,0,1.7,3.4,6.5,2
10-Jan,Canada,  Non-landed immigrants,    Employment,  Female,15 Years +,10.7,19.2,47.2,55.6,17.6
10-Jan,Canada,  Non-landed immigrants,    Employment,  Female,  15-24,2.3,3.9,8.1,6.3,0
10-Jan,Canada,  Non-landed immigrants,    Employment,  Female,  25 Years +,8.3,15.3,39.2,49.4,16.7
10-Jan,Canada,  Non-landed immigrants,    Employment,  Female,  25-64,7.2,15.2,39.2,48.4,16.6
10-Jan,Canada,  Non-landed immigrants,    Employment,  Female,  55 Years +,2.4,3.1,2.7,4.5,2.2
10-Jan,Canada,  Non-landed immigrants,       Full-time employment,  Male,15 Years +,5.7,28.1,33.4,56,23.4
10-Jan,Canada,  Non-landed immigrants,       Full-time employment,  Male,  15-24,0,4.8,2.6,2.5,0
10-Jan,Canada,  Non-landed immigrants,       Full-time employment,  Male,  25 Years +,4.6,23.2,30.7,53.5,23
10-Jan,Canada,  Non-landed immigrants,       Full-time employment,  Male,  25-64,4.6,23.1,30.7,53.4,22.9
10-Jan,Canada,  Non-landed immigrants,       Full-time employment,  Male,  55 Years +,0,1.6,3.1,5.6,2
10-Jan,Canada,  Non-landed immigrants,       Full-time employment,  Female,15 Years +,6.6,14,39.2,43.5,15
10-Jan,Canada,  Non-landed immigrants,       Full-time employment,  Female,  15-24,0,1.7,5,3.7,0
10-Jan,Canada,  Non-landed immigrants,       Full-time employment,  Female,  25 Years +,5.8,12.3,34.2,39.8,14.8
10-Jan,Canada,  Non-landed immigrants,       Full-time employment,  Female,  25-64,4.8,12.3,34.2,39.7,14.7
10-Jan,Canada,  Non-landed immigrants,       Full-time employment,  Female,  55 Years +,2.4,2.9,2.3,3.3,2
10-Jan,Canada,  Non-landed immigrants,       Part-time employment,  Male,15 Years +,1.8,2.5,3.9,7.3,2.3
10-Jan,Canada,  Non-landed immigrants,       Part-time employment,  Male,  15-24,0,2.1,0,0,-
10-Jan,Canada,  Non-landed immigrants,       Part-time employment,  Male,  25 Years +,0,0,3.1,7.2,2.3
10-Jan,Canada,  Non-landed immigrants,       Part-time employment,  Male,  25-64,0,0,3.1,6.4,2.3
10-Jan,Canada,  Non-landed immigrants,       Part-time employment,  Male,  55 Years +,0,0,0,0,0
10-Jan,Canada,  Non-landed immigrants,       Part-time employment,  Female,15 Years +,4,5.2,8,12.2,2.6
10-Jan,Canada,  Non-landed immigrants,       Part-time employment,  Female,  15-24,1.6,2.2,3.1,2.6,0
10-Jan,Canada,  Non-landed immigrants,       Part-time employment,  Female,  25 Years +,2.5,3,5,9.6,2
10-Jan,Canada,  Non-landed immigrants,       Part-time employment,  Female,  25-64,2.4,2.9,5,8.6,2
10-Jan,Canada,  Non-landed immigrants,       Part-time employment,  Female,  55 Years +,0,0,0,0,0
10-Jan,Canada,  Non-landed immigrants,    Unemployment,  Male,15 Years +,2.6,4.6,3.6,5.6,0
10-Jan,Canada,  Non-landed immigrants,    Unemployment,  Male,  15-24,1.5,0,0,0,-
10-Jan,Canada,  Non-landed immigrants,    Unemployment,  Male,  25 Years +,0,3.7,2.9,4.9,0
10-Jan,Canada,  Non-landed immigrants,    Unemployment,  Male,  25-64,0,3.7,2.7,4.7,0
10-Jan,Canada,  Non-landed immigrants,    Unemployment,  Male,  55 Years +,0,0,0,0,0
10-Jan,Canada,  Non-landed immigrants,    Unemployment,  Female,15 Years +,0,2.3,2.5,3,0
10-Jan,Canada,  Non-landed immigrants,    Unemployment,  Female,  15-24,0,0,0,0,-
10-Jan,Canada,  Non-landed immigrants,    Unemployment,  Female,  25 Years +,0,1.7,0,2.8,0
10-Jan,Canada,  Non-landed immigrants,    Unemployment,  Female,  25-64,0,1.7,0,2.8,0
10-Jan,Canada,  Non-landed immigrants,    Unemployment,  Female,  55 Years +,0,0,0,-,-
10-Jan,Canada,  Non-landed immigrants,  Not in labour force,  Male,15 Years +,16.4,15.7,14.8,19.1,8.3
10-Jan,Canada,  Non-landed immigrants,  Not in labour force,  Male,  15-24,11.6,7.6,3.5,2.5,0
10-Jan,Canada,  Non-landed immigrants,  Not in labour force,  Male,  25 Years +,4.9,8.1,11.3,16.7,8.1
10-Jan,Canada,  Non-landed immigrants,  Not in labour force,  Male,  25-64,2.8,5.5,8.1,13,5.8
10-Jan,Canada,  Non-landed immigrants,  Not in labour force,  Male,  55 Years +,2.6,3.4,4.9,5.4,3.4
10-Jan,Canada,  Non-landed immigrants,  Not in labour force,  Female,15 Years +,26.5,14.9,15.7,32.5,8
10-Jan,Canada,  Non-landed immigrants,  Not in labour force,  Female,  15-24,10.6,2.2,4.9,9.2,0
10-Jan,Canada,  Non-landed immigrants,  Not in labour force,  Female,  25 Years +,16,12.7,10.8,23.3,7.2
10-Jan,Canada,  Non-landed immigrants,  Not in labour force,  Female,  25-64,7.5,9.3,9.8,20.5,6
10-Jan,Canada,  Non-landed immigrants,  Not in labour force,  Female,  55 Years +,11.7,6,3.6,4.9,2.1
10-Jan,Canada,  Non-landed immigrants,Unemployment rate,  Male,15 Years +,25.7,13.1,8.8,8.1,NaN
10-Jan,Canada,  Non-landed immigrants,Unemployment rate,  Male,  15-24,37.5,0,0,0,NaN
10-Jan,Canada,  Non-landed immigrants,Unemployment rate,  Male,  25 Years +,0,13.6,7.9,7.5,NaN
10-Jan,Canada,  Non-landed immigrants,Unemployment rate,  Male,  25-64,0,13.6,7.4,7.3,NaN
10-Jan,Canada,  Non-landed immigrants,Unemployment rate,  Male,  55 Years +,0,0,0,0,NaN
10-Jan,Canada,  Non-landed immigrants,Unemployment rate,  Female,15 Years +,0,10.6,5,5.1,NaN
10-Jan,Canada,  Non-landed immigrants,Unemployment rate,  Female,  15-24,0,0,0,0,NaN
10-Jan,Canada,  Non-landed immigrants,Unemployment rate,  Female,  25 Years +,0,10.1,0,5.4,NaN
10-Jan,Canada,  Non-landed immigrants,Unemployment rate,  Female,  25-64,0,10.1,0,5.5,NaN
10-Jan,Canada,  Non-landed immigrants,Unemployment rate,  Female,  55 Years +,0,0,0,-,NaN
10-Jan,Canada,  Non-landed immigrants,Employment rate,  Male,15 Years +,28.3,60.1,67.1,71.9,73.4
10-Jan,Canada,  Non-landed immigrants,Employment rate,  Male,  15-24,15.5,45.5,45.5,46.6,0
10-Jan,Canada,  Non-landed immigrants,Employment rate,  Male,  25 Years +,45.5,66.5,70.4,73.8,73.6
10-Jan,Canada,  Non-landed immigrants,Employment rate,  Male,  25-64,56.2,71.9,75.6,77.1,78.5
10-Jan,Canada,  Non-landed immigrants,Employment rate,  Male,  55 Years +,0,27.9,40,50.4,34.5
10-Jan,Canada,  Non-landed immigrants,Employment rate,  Female,15 Years +,27.7,52.6,72.2,61,66.7
10-Jan,Canada,  Non-landed immigrants,Employment rate,  Female,  15-24,16.7,57.4,57.4,40.1,0
10-Jan,Canada,  Non-landed immigrants,Employment rate,  Female,  25 Years +,33.5,51.5,76.4,65.4,67.3
10-Jan,Canada,  Non-landed immigrants,Employment rate,  Female,  25-64,47.4,58.2,77.8,67.6,70.6
10-Jan,Canada,  Non-landed immigrants,Employment rate,  Female,  55 Years +,17,34.1,41.5,47.9,51.2
10-Jan,Ontario,  Total Landed immigrants,  Labour force,  Male,15 Years +,103.7,221.9,303.1,400.8,153.4
10-Jan,Ontario,  Total Landed immigrants,  Labour force,  Male,  15-24,17.9,22.5,13.8,7.1,0
10-Jan,Ontario,  Total Landed immigrants,  Labour force,  Male,  25 Years +,85.8,199.4,289.3,393.7,152.8
10-Jan,Ontario,  Total Landed immigrants,  Labour force,  Male,  25-64,77.5,189.8,275.2,376.5,142.3
10-Jan,Ontario,  Total Landed immigrants,  Labour force,  Male,  55 Years +,35.1,51.9,68.5,95.9,42.7
10-Jan,Ontario,  Total Landed immigrants,  Labour force,  Female,15 Years +,78.9,207.8,315,330.6,102.3
10-Jan,Ontario,  Total Landed immigrants,  Labour force,  Female,  15-24,8.5,17.3,15.2,7.5,0
10-Jan,Ontario,  Total Landed immigrants,  Labour force,  Female,  25 Years +,70.3,190.5,299.8,323.1,101.8
10-Jan,Ontario,  Total Landed immigrants,  Labour force,  Female,  25-64,66,180.8,291.5,316.3,99.4
10-Jan,Ontario,  Total Landed immigrants,  Labour force,  Female,  55 Years +,26.4,51,74.6,52.9,17.3
10-Jan,Ontario,  Total Landed immigrants,    Employment,  Male,15 Years +,87.8,194.7,276.6,367.6,143.3
10-Jan,Ontario,  Total Landed immigrants,    Employment,  Male,  15-24,12,15.6,11.2,5.4,0
10-Jan,Ontario,  Total Landed immigrants,    Employment,  Male,  25 Years +,75.7,179.2,265.4,362.2,142.7
10-Jan,Ontario,  Total Landed immigrants,    Employment,  Male,  25-64,68.4,170.3,251.8,345.4,132.6
10-Jan,Ontario,  Total Landed immigrants,    Employment,  Male,  55 Years +,28.9,47.7,63.4,90.2,41.4
10-Jan,Ontario,  Total Landed immigrants,    Employment,  Female,15 Years +,65.2,186.6,290.7,299.2,92.3
10-Jan,Ontario,  Total Landed immigrants,    Employment,  Female,  15-24,7,14.2,11.8,6.7,0
10-Jan,Ontario,  Total Landed immigrants,    Employment,  Female,  25 Years +,58.2,172.4,278.9,292.5,91.8
10-Jan,Ontario,  Total Landed immigrants,    Employment,  Female,  25-64,54,162.7,272.3,285.8,89.4
10-Jan,Ontario,  Total Landed immigrants,    Employment,  Female,  55 Years +,22.7,47.5,69.5,49.9,16.7
10-Jan,Ontario,  Total Landed immigrants,       Full-time employment,  Male,15 Years +,69.4,169.9,247.1,336.7,129.2
10-Jan,Ontario,  Total Landed immigrants,       Full-time employment,  Male,  15-24,4.3,7.2,7.1,5.1,0
10-Jan,Ontario,  Total Landed immigrants,       Full-time employment,  Male,  25 Years +,65,162.7,240.1,331.6,128.6
10-Jan,Ontario,  Total Landed immigrants,       Full-time employment,  Male,  25-64,59.6,157.4,230.5,319.6,121.1
10-Jan,Ontario,  Total Landed immigrants,       Full-time employment,  Male,  55 Years +,23.2,40.5,55.4,78.6,35.6
10-Jan,Ontario,  Total Landed immigrants,       Full-time employment,  Female,15 Years +,48.5,142.7,235.1,248.1,76.4
10-Jan,Ontario,  Total Landed immigrants,       Full-time employment,  Female,  15-24,1.7,6.7,6.8,4.6,0
10-Jan,Ontario,  Total Landed immigrants,       Full-time employment,  Female,  25 Years +,46.8,136,228.3,243.5,75.9
10-Jan,Ontario,  Total Landed immigrants,       Full-time employment,  Female,  25-64,44.6,129.2,224.7,240.5,74.9
10-Jan,Ontario,  Total Landed immigrants,       Full-time employment,  Female,  55 Years +,17.8,35.8,51.3,38,12.3
10-Jan,Ontario,  Total Landed immigrants,       Part-time employment,  Male,15 Years +,18.4,24.8,29.4,30.9,14.1
10-Jan,Ontario,  Total Landed immigrants,       Part-time employment,  Male,  15-24,7.7,8.3,4.1,0,-
10-Jan,Ontario,  Total Landed immigrants,       Part-time employment,  Male,  25 Years +,10.7,16.5,25.3,30.6,14.1
10-Jan,Ontario,  Total Landed immigrants,       Part-time employment,  Male,  25-64,8.8,12.8,21.3,25.8,11.5
10-Jan,Ontario,  Total Landed immigrants,       Part-time employment,  Male,  55 Years +,5.8,7.1,8,11.6,5.8
10-Jan,Ontario,  Total Landed immigrants,       Part-time employment,  Female,15 Years +,16.7,43.9,55.6,51.1,15.9
10-Jan,Ontario,  Total Landed immigrants,       Part-time employment,  Female,  15-24,5.3,7.5,5,2.1,-
10-Jan,Ontario,  Total Landed immigrants,       Part-time employment,  Female,  25 Years +,11.4,36.4,50.6,49,15.9
10-Jan,Ontario,  Total Landed immigrants,       Part-time employment,  Female,  25-64,9.5,33.6,47.6,45.3,14.5
10-Jan,Ontario,  Total Landed immigrants,       Part-time employment,  Female,  55 Years +,4.9,11.7,18.2,11.9,4.5
10-Jan,Ontario,  Total Landed immigrants,    Unemployment,  Male,15 Years +,16,27.2,26.5,33.1,10.1
10-Jan,Ontario,  Total Landed immigrants,    Unemployment,  Male,  15-24,5.9,6.9,2.6,1.7,-
10-Jan,Ontario,  Total Landed immigrants,    Unemployment,  Male,  25 Years +,10.1,20.2,23.9,31.5,10.1
10-Jan,Ontario,  Total Landed immigrants,    Unemployment,  Male,  25-64,9.2,19.5,23.3,31,9.7
10-Jan,Ontario,  Total Landed immigrants,    Unemployment,  Male,  55 Years +,6.2,4.2,5.1,5.7,0
10-Jan,Ontario,  Total Landed immigrants,    Unemployment,  Female,15 Years +,13.7,21.3,24.2,31.4,10
10-Jan,Ontario,  Total Landed immigrants,    Unemployment,  Female,  15-24,1.5,3.1,3.3,0,-
10-Jan,Ontario,  Total Landed immigrants,    Unemployment,  Female,  25 Years +,12.1,18.1,20.9,30.5,10
10-Jan,Ontario,  Total Landed immigrants,    Unemployment,  Female,  25-64,11.9,18,19.2,30.5,10
10-Jan,Ontario,  Total Landed immigrants,    Unemployment,  Female,  55 Years +,3.7,3.5,5.1,3,0
10-Jan,Ontario,  Total Landed immigrants,  Not in labour force,  Male,15 Years +,173.8,99.2,129.2,90.9,39.7
10-Jan,Ontario,  Total Landed immigrants,  Not in labour force,  Male,  15-24,30.7,13.3,5.4,2.8,0
10-Jan,Ontario,  Total Landed immigrants,  Not in labour force,  Male,  25 Years +,143,85.8,123.8,88.1,38.9
10-Jan,Ontario,  Total Landed immigrants,  Not in labour force,  Male,  25-64,30.8,42.3,43.6,48.3,19.7
10-Jan,Ontario,  Total Landed immigrants,  Not in labour force,  Male,  55 Years +,130.4,61.3,105.4,57.6,25.9
10-Jan,Ontario,  Total Landed immigrants,  Not in labour force,  Female,15 Years +,300.3,183.9,143.6,123.4,32.7
10-Jan,Ontario,  Total Landed immigrants,  Not in labour force,  Female,  15-24,25.5,10.9,6.3,5.4,0
10-Jan,Ontario,  Total Landed immigrants,  Not in labour force,  Female,  25 Years +,274.8,172.9,137.3,118.1,32
10-Jan,Ontario,  Total Landed immigrants,  Not in labour force,  Female,  25-64,87.6,81.8,74,81.5,20.3
10-Jan,Ontario,  Total Landed immigrants,  Not in labour force,  Female,  55 Years +,233.3,125.3,93.5,53.8,15.6
10-Jan,Ontario,  Total Landed immigrants,Unemployment rate,  Male,15 Years +,15.4,12.3,8.7,8.3,6.6
10-Jan,Ontario,  Total Landed immigrants,Unemployment rate,  Male,  15-24,33,30.7,18.8,23.9,-
10-Jan,Ontario,  Total Landed immigrants,Unemployment rate,  Male,  25 Years +,11.8,10.1,8.3,8,6.6
10-Jan,Ontario,  Total Landed immigrants,Unemployment rate,  Male,  25-64,11.9,10.3,8.5,8.2,6.8
10-Jan,Ontario,  Total Landed immigrants,Unemployment rate,  Male,  55 Years +,17.7,8.1,7.4,5.9,0
10-Jan,Ontario,  Total Landed immigrants,Unemployment rate,  Female,15 Years +,17.4,10.3,7.7,9.5,9.8
10-Jan,Ontario,  Total Landed immigrants,Unemployment rate,  Female,  15-24,17.6,17.9,21.7,0,-
10-Jan,Ontario,  Total Landed immigrants,Unemployment rate,  Female,  25 Years +,17.2,9.5,7,9.4,9.8
10-Jan,Ontario,  Total Landed immigrants,Unemployment rate,  Female,  25-64,18,10,6.6,9.6,10.1
10-Jan,Ontario,  Total Landed immigrants,Unemployment rate,  Female,  55 Years +,14,6.9,6.8,5.7,0
10-Jan,Ontario,  Total Landed immigrants,Employment rate,  Male,15 Years +,31.6,60.6,64,74.8,74.2
10-Jan,Ontario,  Total Landed immigrants,Employment rate,  Male,  15-24,24.6,43.6,58.3,54.5,0
10-Jan,Ontario,  Total Landed immigrants,Employment rate,  Male,  25 Years +,33.1,62.8,64.2,75.2,74.4
10-Jan,Ontario,  Total Landed immigrants,Employment rate,  Male,  25-64,63.1,73.4,79,81.3,81.9
10-Jan,Ontario,  Total Landed immigrants,Employment rate,  Male,  55 Years +,17.5,42.1,36.5,58.8,60.3
10-Jan,Ontario,  Total Landed immigrants,Employment rate,  Female,15 Years +,17.2,47.6,63.4,65.9,68.4
10-Jan,Ontario,  Total Landed immigrants,Employment rate,  Female,  15-24,20.6,50.4,55.1,51.9,0
10-Jan,Ontario,  Total Landed immigrants,Employment rate,  Female,  25 Years +,16.9,47.4,63.8,66.3,68.6
10-Jan,Ontario,  Total Landed immigrants,Employment rate,  Female,  25-64,35.2,62,74.5,71.8,74.7
10-Jan,Ontario,  Total Landed immigrants,Employment rate,  Female,  55 Years +,8.7,26.9,41.3,46.8,50.6
10-Jan,Ontario,  Non-landed immigrants,  Labour force,  Male,15 Years +,3.8,14.3,14.4,21.8,7.4
10-Jan,Ontario,  Non-landed immigrants,  Labour force,  Male,  15-24,2.5,2.6,0,1.7,0
10-Jan,Ontario,  Non-landed immigrants,  Labour force,  Male,  25 Years +,0,11.6,13.2,20.1,7.1
10-Jan,Ontario,  Non-landed immigrants,  Labour force,  Male,  25-64,0,11.5,13.1,19.8,7
10-Jan,Ontario,  Non-landed immigrants,  Labour force,  Male,  55 Years +,0,0,2.3,2.9,0
10-Jan,Ontario,  Non-landed immigrants,  Labour force,  Female,15 Years +,6.7,7.2,21.4,20.8,7.7
